"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"29.05.2022","29.877,0","29.037,0","32.390,8","28.851,0","30,29K","2,89%"
"22.05.2022","29.037,0","29.439,0","30.666,0","28.005,0","24,68K","-1,37%"
"15.05.2022","29.439,0","30.104,0","31.416,0","28.634,0","26,48K","-2,21%"
"08.05.2022","30.104,0","35.506,0","35.540,0","26.600,0","121,71K","-15,22%"
"01.05.2022","35.508,0","37.662,0","39.996,0","34.879,0","40,12K","-5,72%"
"24.04.2022","37.662,0","39.444,0","40.800,3","37.633,0","28,15K","-4,52%"
"17.04.2022","39.446,7","40.408,7","42.977,0","38.557,0","25,52K","-2,38%"
"10.04.2022","40.408,7","42.780,0","43.460,0","39.274,0","25,90K","-5,54%"
"03.04.2022","42.780,0","45.825,0","47.414,0","42.137,0","26,00K","-6,64%"
"27.03.2022","45.825,0","44.536,4","48.159,0","44.245,9","32,16K","2,89%"
"20.03.2022","44.536,4","42.213,0","45.082,0","40.544,0","24,44K","5,50%"
"13.03.2022","42.214,0","38.816,3","42.373,0","37.570,0","34,86K","8,75%"
"06.03.2022","38.816,3","39.408,0","42.593,0","37.198,0","46,61K","-1,50%"
"27.02.2022","39.408,0","39.137,1","45.326,0","37.067,1","42,08K","0,72%"
"20.02.2022","39.125,0","40.128,0","40.274,0","34.435,0","54,80K","-2,53%"
"13.02.2022","40.141,0","42.239,1","44.762,0","39.571,0","30,00K","-4,97%"
"06.02.2022","42.239,1","41.454,0","45.851,0","41.171,0","37,26K","1,89%"
"30.01.2022","41.454,0","38.179,9","41.928,0","36.282,0","37,27K","8,53%"
"23.01.2022","38.197,0","35.103,0","38.901,0","32.981,0","67,33K","8,81%"
"16.01.2022","35.103,0","43.069,0","43.540,6","34.079,0","52,38K","-18,50%"
"09.01.2022","43.069,0","41.679,0","44.426,7","39.677,0","34,03K","3,34%"
"02.01.2022","41.679,0","47.755,0","47.980,0","40.570,0","33,42K","-12,72%"
"26.12.2021","47.755,0","50.435,2","52.027,0","45.697,0","27,50K","-5,32%"
"19.12.2021","50.437,0","46.879,0","51.834,0","45.606,0","28,07K","7,59%"
"12.12.2021","46.879,0","49.363,1","50.800,0","45.539,0","40,26K","-5,03%"
"05.12.2021","49.363,1","49.272,0","51.969,0","46.897,0","42,70K","0,18%"
"28.11.2021","49.272,0","54.836,0","59.174,0","42.101,0","47,88K","-10,15%"
"21.11.2021","54.836,0","59.739,0","60.047,0","53.565,0","53,23K","-8,21%"
"14.11.2021","59.739,0","64.406,0","66.320,0","55.670,0","48,89K","-7,25%"
"07.11.2021","64.406,0","61.495,0","68.925,0","61.400,0","43,75K","4,73%"
"31.10.2021","61.496,0","61.838,8","64.263,4","59.595,6","24,52K","-0,55%"
"24.10.2021","61.838,8","61.302,0","63.666,0","57.612,0","33,87K","0,88%"
"17.10.2021","61.302,0","60.867,5","66.927,0","59.073,0","58,16K","0,71%"
"10.10.2021","60.867,5","54.978,0","62.897,0","54.000,0","50,84K","10,71%"
"03.10.2021","54.978,0","47.675,0","56.000,0","46.951,0","42,95K","15,32%"
"26.09.2021","47.675,0","42.711,0","48.454,0","40.811,0","42,00K","11,62%"
"19.09.2021","42.711,0","48.309,0","48.370,0","39.678,0","67,08K","-11,59%"
"12.09.2021","48.309,0","45.169,0","48.794,0","43.514,0","28,21K","6,95%"
"05.09.2021","45.169,0","49.899,0","52.888,0","43.347,0","48,85K","-9,48%"
"29.08.2021","49.899,0","48.914,0","51.032,0","46.600,0","37,11K","2,01%"
"22.08.2021","48.914,0","48.868,0","50.506,3","46.364,9","34,61K","0,09%"
"15.08.2021","48.868,0","47.084,0","49.784,0","43.992,0","40,38K","3,79%"
"08.08.2021","47.084,0","44.589,0","48.120,0","42.792,0","48,90K","5,60%"
"01.08.2021","44.589,0","41.409,0","44.689,2","37.361,0","41,40K","7,68%"
"25.07.2021","41.409,0","34.620,0","42.317,0","33.906,0","53,00K","22,35%"
"18.07.2021","33.845,0","31.559,0","34.043,0","29.341,0","55,39K","7,24%"
"11.07.2021","31.559,0","33.506,0","34.624,0","31.055,0","38,85K","-5,81%"
"04.07.2021","33.506,0","35.494,0","35.782,0","32.063,0","51,75K","-3,60%"
"27.06.2021","34.758,0","32.359,0","36.411,0","32.359,0","59,77K","7,41%"
"20.06.2021","32.359,0","35.585,8","35.966,0","29.927,0","156,97K","-9,07%"
"13.06.2021","35.585,8","35.531,0","40.732,0","34.984,0","59,34K","0,15%"
"06.06.2021","35.531,0","35.543,0","37.933,0","31.547,6","78,47K","-0,03%"
"30.05.2021","35.543,0","34.570,0","39.094,0","33.680,0","38,20K","2,81%"
"23.05.2021","34.570,0","37.585,0","40.497,8","32.623,0","83,42K","-8,02%"
"16.05.2021","37.585,0","46.784,9","49.460,0","35.188,0","207,04K","-19,66%"
"09.05.2021","46.784,9","58.894,0","59.454,3","46.784,9","77,94K","-20,56%"
"02.05.2021","58.894,0","57.774,0","59.327,0","53.852,0","53,48K","1,94%"
"25.04.2021","57.774,0","50.167,0","58.265,0","48.409,8","56,88K","15,16%"
"18.04.2021","50.167,0","59.970,0","60.223,0","48.719,6","95,86K","-16,35%"
"11.04.2021","59.970,0","59.823,8","64.374,0","59.411,0","61,86K","0,24%"
"04.04.2021","59.823,8","57.023,0","60.984,0","55.976,0","36,76K","4,91%"
"28.03.2021","57.023,0","55.886,0","59.834,0","54.984,0","46,86K","2,03%"
"21.03.2021","55.886,0","58.087,0","58.499,5","50.874,0","65,09K","-3,79%"
"14.03.2021","58.087,0","61.207,0","61.468,0","54.049,0","62,69K","-5,10%"
"07.03.2021","61.207,0","48.895,0","61.207,0","48.895,0","57,87K","25,18%"
"28.02.2021","48.895,0","46.217,0","52.018,0","43.380,0","66,35K","5,79%"
"21.02.2021","46.217,0","55.838,0","58.238,0","45.320,0","130,47K","-17,23%"
"14.02.2021","55.838,0","47.177,0","57.352,0","46.563,0","69,08K","18,36%"
"07.02.2021","47.177,0","39.257,0","48.540,0","38.061,0","89,16K","20,17%"
"31.01.2021","39.257,0","34.334,0","40.780,0","32.270,0","43,45K","14,34%"
"24.01.2021","34.334,0","32.099,0","38.056,0","29.815,0","104,31K","6,96%"
"17.01.2021","32.099,0","36.061,0","37.673,0","28.991,0","92,10K","-10,97%"
"10.01.2021","36.055,0","40.171,0","41.209,3","31.842,0","148,28K","-10,25%"
"03.01.2021","40.171,0","32.183,0","41.616,0","29.178,0","141,29K","24,81%"
"27.12.2020","32.185,0","26.410,0","33.168,0","25.923,0","73,02K","21,86%"
"20.12.2020","26.412,0","23.804,0","26.577,0","22.483,0","76,55K","10,96%"
"13.12.2020","23.804,0","18.818,0","24.058,0","18.747,0","72,01K","26,55%"
"06.12.2020","18.810,6","19.157,0","19.377,0","17.764,0","42,35K","-1,81%"
"29.11.2020","19.157,0","17.746,0","19.733,0","17.579,2","72,09K","7,95%"
"22.11.2020","17.746,0","18.660,0","19.349,0","16.592,0","102,55K","-4,90%"
"15.11.2020","18.660,0","16.057,0","18.944,5","15.871,0","60,78K","16,20%"
"08.11.2020","16.058,3","14.844,1","16.405,0","14.844,1","51,81K","8,18%"
"01.11.2020","14.844,1","13.788,0","15.876,0","13.401,0","63,64K","7,66%"
"25.10.2020","13.788,0","13.127,0","13.958,0","12.863,0","36,27K","5,00%"
"18.10.2020","13.132,0","11.375,0","13.166,0","11.366,0","37,60K","15,45%"
"11.10.2020","11.375,0","11.308,0","11.698,9","11.268,2","25,62K","0,59%"
"04.10.2020","11.308,0","10.558,6","11.450,0","10.557,6","17,05K","7,10%"
"27.09.2020","10.558,6","10.750,0","10.941,0","10.476,0","21,91K","-1,78%"
"20.09.2020","10.750,0","11.099,0","11.099,0","10.255,0","21,22K","-3,14%"
"13.09.2020","11.099,0","10.458,0","11.127,0","10.244,0","24,51K","6,13%"
"06.09.2020","10.458,0","10.196,9","10.463,5","9.964,1","26,77K","2,56%"
"30.08.2020","10.197,0","11.492,0","12.037,0","10.011,0","57,29K","-11,27%"
"23.08.2020","11.492,0","11.685,0","11.817,9","11.200,0","21,36K","-1,65%"
"16.08.2020","11.685,0","11.873,4","12.415,0","11.449,0","41,94K","-1,59%"
"09.08.2020","11.873,4","11.764,0","12.024,0","11.257,0","36,61K","0,93%"
"02.08.2020","11.764,0","11.804,7","11.917,0","11.032,0","40,40K","-0,35%"
"26.07.2020","11.804,7","9.714,9","11.804,7","9.685,8","65,25K","21,51%"
"19.07.2020","9.714,9","9.189,1","9.730,5","9.130,5","21,54K","5,72%"
"12.07.2020","9.189,1","9.246,3","9.344,8","9.092,1","11,98K","-0,62%"
"05.07.2020","9.246,3","9.147,7","9.480,7","9.004,9","18,40K","1,08%"
"28.06.2020","9.147,7","9.015,3","9.298,0","8.949,4","15,71K","1,47%"
"21.06.2020","9.015,3","9.371,3","9.794,2","8.857,3","29,00K","-3,80%"
"14.06.2020","9.371,3","9.480,9","9.589,9","8.914,9","26,25K","-1,15%"
"07.06.2020","9.480,8","9.668,4","10.004,0","9.088,6","40,26K","-1,94%"
"31.05.2020","9.668,4","9.706,4","10.390,0","9.197,4","53,24K","-0,39%"
"24.05.2020","9.706,4","9.174,6","9.742,0","8.628,6","36,84K","5,80%"
"17.05.2020","9.174,6","9.388,0","9.941,1","8.821,4","52,99K","-2,27%"
"10.05.2020","9.388,0","9.537,7","9.937,8","8.107,4","98,21K","-1,57%"
"03.05.2020","9.537,9","8.982,3","10.045,0","8.535,0","78,91K","6,19%"
"26.04.2020","8.982,3","7.538,5","9.438,8","7.487,0","93,53K","19,15%"
"19.04.2020","7.538,5","7.268,8","7.744,9","6.767,1","60,13K","3,71%"
"12.04.2020","7.269,1","6.884,5","7.300,1","6.500,4","58,72K","5,59%"
"05.04.2020","6.884,5","6.880,6","7.452,0","6.693,4","79,89K","0,04%"
"29.03.2020","6.881,6","6.252,3","7.263,3","5.880,9","80,52K","10,12%"
"22.03.2020","6.249,3","6.202,7","6.968,0","5.682,7","95,87K","0,77%"
"15.03.2020","6.201,8","5.217,1","6.897,0","4.468,0","198,24K","18,85%"
"08.03.2020","5.218,2","8.917,2","8.917,2","4.001,0","370,73K","-41,49%"
"01.03.2020","8.919,0","8.561,5","9.231,1","8.460,0","31,93K","4,23%"
"23.02.2020","8.557,3","9.663,0","10.022,0","8.455,2","59,56K","-11,44%"
"16.02.2020","9.662,4","9.901,0","10.309,0","9.350,3","67,21K","-2,41%"
"09.02.2020","9.901,0","9.877,3","10.489,0","9.720,0","52,55K","0,24%"
"02.02.2020","9.877,2","9.408,0","9.920,7","9.112,5","43,64K","4,96%"
"26.01.2020","9.410,6","8.351,1","9.550,0","8.303,6","42,11K","12,65%"
"19.01.2020","8.353,7","8.891,6","9.169,5","8.247,7","35,28K","-6,05%"
"12.01.2020","8.891,5","8.013,6","8.994,9","7.951,7","55,74K","10,95%"
"05.01.2020","8.013,8","7.370,3","8.442,0","7.315,8","57,93K","8,74%"
"29.12.2019","7.369,8","7.333,2","7.551,6","6.909,3","29,28K","0,48%"
"22.12.2019","7.334,4","7.166,3","7.715,0","7.114,1","31,31K","2,34%"
"15.12.2019","7.166,4","7.100,8","7.480,2","6.479,4","59,85K","0,92%"
"08.12.2019","7.100,8","7.543,2","7.701,1","7.038,5","28,72K","-5,86%"
"01.12.2019","7.543,2","7.599,9","7.887,7","7.134,1","41,19K","-0,75%"
"24.11.2019","7.599,9","7.352,7","7.916,3","6.619,4","64,94K","3,36%"
"17.11.2019","7.352,6","8.523,4","8.662,9","6.820,1","63,89K","-13,74%"
"10.11.2019","8.523,5","8.827,1","9.156,9","8.420,2","26,69K","-3,45%"
"03.11.2019","8.828,0","9.332,2","9.621,8","8.688,1","37,66K","-5,40%"
"27.10.2019","9.332,1","9.270,9","9.948,0","8.984,8","45,88K","0,66%"
"20.10.2019","9.270,9","7.993,0","10.464,1","7.341,5","77,95K","15,99%"
"13.10.2019","7.992,9","8.319,6","8.477,4","7.860,0","30,36K","-3,91%"
"06.10.2019","8.318,3","8.162,5","8.815,2","7.794,9","42,38K","1,91%"
"29.09.2019","8.162,5","8.238,2","8.539,0","7.753,0","35,96K","-0,92%"
"22.09.2019","8.238,6","10.012,0","10.105,0","7.800,1","85,94K","-17,72%"
"15.09.2019","10.013,0","10.381,0","10.417,0","9.655,0","28,32K","-3,53%"
"08.09.2019","10.379,0","10.489,0","10.599,0","9.866,5","30,68K","-1,04%"
"01.09.2019","10.488,0","9.623,9","10.933,0","9.560,1","56,65K","8,98%"
"25.08.2019","9.623,9","10.162,0","10.654,0","9.360,4","43,28K","-5,20%"
"18.08.2019","10.152,0","10.230,0","10.986,0","9.790,0","48,04K","-0,74%"
"11.08.2019","10.228,0","11.308,0","11.579,0","9.522,5","74,58K","-9,60%"
"04.08.2019","11.314,0","10.822,0","12.307,0","10.595,0","84,56K","4,55%"
"28.07.2019","10.822,0","9.463,1","10.910,0","9.112,3","51,75K","14,33%"
"21.07.2019","9.465,7","10.741,0","10.811,0","9.300,3","60,17K","-11,86%"
"14.07.2019","10.740,0","11.324,0","11.390,0","9.111,0","148,04K","-5,06%"
"07.07.2019","11.312,0","11.276,0","13.173,0","10.806,0","126,70K","0,26%"
"30.06.2019","11.283,0","11.973,0","12.229,0","9.745,1","153,59K","-5,35%"
"23.06.2019","11.921,0","10.745,0","13.764,0","10.397,0","220,96K","10,91%"
"16.06.2019","10.747,9","8.852,8","11.210,0","8.803,0","107,90K","21,36%"
"09.06.2019","8.856,0","7.924,0","8.904,1","7.502,5","64,50K","11,75%"
"02.06.2019","7.924,6","8.546,9","8.813,0","7.461,0","97,98K","-7,28%"
"26.05.2019","8.547,0","8.054,9","9.100,0","7.897,1","100,95K","6,11%"
"19.05.2019","8.054,9","7.260,1","8.263,2","7.252,0","90,82K","10,95%"
"12.05.2019","7.260,0","7.125,1","8.307,7","6.860,0","197,17K","1,73%"
"05.05.2019","7.136,4","6.098,2","7.278,3","5.926,6","70,78K","17,02%"
"28.04.2019","6.098,3","5.400,6","6.149,1","5.370,3","77,19K","12,89%"
"21.04.2019","5.401,8","5.340,1","5.647,4","5.142,7","114,48K","1,16%"
"14.04.2019","5.340,0","5.103,7","5.375,6","5.000,7","53,17K","4,67%"
"07.04.2019","5.101,8","5.091,1","5.487,4","4.935,2","91,56K","0,22%"
"31.03.2019","5.090,5","4.165,1","5.330,1","4.127,2","145,80K","22,22%"
"24.03.2019","4.165,1","4.063,0","4.210,0","3.939,1","47,36K","2,51%"
"17.03.2019","4.063,2","4.088,0","4.138,7","4.005,2","41,78K","-0,61%"
"10.03.2019","4.088,0","4.017,3","4.152,7","3.882,8","46,50K","1,76%"
"03.03.2019","4.017,3","3.913,0","4.046,2","3.767,4","57,07K","2,67%"
"24.02.2019","3.913,0","4.212,2","4.282,4","3.767,0","85,25K","-7,09%"
"17.02.2019","4.211,7","3.676,5","4.255,0","3.669,9","134,65K","14,56%"
"10.02.2019","3.676,4","3.718,3","3.753,5","3.642,8","66,07K","-1,13%"
"03.02.2019","3.718,4","3.564,5","3.799,6","3.426,9","97,97K","4,32%"
"27.01.2019","3.564,3","3.630,7","3.642,5","3.427,2","78,34K","-1,83%"
"20.01.2019","3.630,7","3.762,3","3.796,0","3.501,0","80,07K","-3,44%"
"13.01.2019","3.760,0","3.702,0","3.858,5","3.574,1","75,76K","1,57%"
"06.01.2019","3.702,0","3.911,0","4.214,5","3.674,4","136,71K","-5,34%"
"30.12.2018","3.911,0","3.893,8","4.076,0","3.779,5","105,09K","0,62%"
"23.12.2018","3.887,0","4.135,0","4.384,0","3.691,1","192,67K","-6,00%"
"16.12.2018","4.135,0","3.282,2","4.283,0","3.278,0","289,66K","25,87%"
"09.12.2018","3.285,1","3.506,0","3.766,6","3.216,1","169,13K","-6,30%"
"02.12.2018","3.506,0","4.241,4","4.353,2","3.278,4","316,32K","-17,37%"
"25.11.2018","4.243,0","3.934,9","4.472,0","3.663,0","382,98K","7,97%"
"18.11.2018","3.929,8","5.637,2","5.716,0","3.834,7","340,85K","-30,16%"
"11.11.2018","5.626,7","6.431,0","6.497,5","5.441,5","180,29K","-12,51%"
"04.11.2018","6.431,1","6.389,2","6.607,1","6.360,1","63,72K","0,68%"
"28.10.2018","6.387,9","6.498,4","6.510,1","6.248,2","70,51K","-1,73%"
"21.10.2018","6.500,2","6.582,9","6.655,0","6.480,1","51,02K","-1,31%"
"14.10.2018","6.586,7","6.326,0","7.704,2","6.300,0","155,82K","4,11%"
"07.10.2018","6.326,5","6.595,2","6.718,4","6.223,0","101,16K","-4,03%"
"30.09.2018","6.592,0","6.590,0","6.666,9","6.428,1","81,90K","-0,19%"
"23.09.2018","6.604,6","6.723,1","6.825,0","6.350,2","136,61K","-1,76%"
"16.09.2018","6.723,0","6.512,8","6.840,0","6.112,7","170,75K","3,21%"
"09.09.2018","6.513,6","6.184,9","6.593,0","6.142,2","115,74K","5,31%"
"02.09.2018","6.185,0","7.197,5","7.410,3","6.130,3","237,10K","-14,07%"
"26.08.2018","7.197,5","6.732,8","7.260,4","6.574,5","153,64K","6,90%"
"19.08.2018","6.732,9","6.395,0","6.885,0","6.230,2","197,42K","5,35%"
"12.08.2018","6.391,2","6.234,7","6.623,8","5.879,3","254,04K","2,54%"
"05.08.2018","6.232,7","7.013,2","7.149,9","6.008,2","243,16K","-11,13%"
"29.07.2018","7.013,2","8.235,7","8.293,9","6.930,0","196,03K","-14,95%"
"22.07.2018","8.246,4","7.403,4","8.500,2","7.338,9","265,31K","11,39%"
"15.07.2018","7.403,3","6.250,0","7.681,0","6.232,3","217,18K","18,45%"
"08.07.2018","6.250,1","6.761,8","6.820,0","6.080,8","139,14K","-7,57%"
"01.07.2018","6.761,7","6.617,6","6.826,1","6.418,7","130,70K","5,79%"
"24.06.2018","6.391,5","6.151,9","6.518,1","5.762,9","203,40K","3,89%"
"17.06.2018","6.152,0","6.491,0","6.832,9","5.929,1","158,49K","-5,15%"
"10.06.2018","6.485,9","7.498,1","7.498,1","6.125,7","225,83K","-13,51%"
"03.06.2018","7.498,6","7.639,0","7.777,4","7.372,9","97,49K","-1,83%"
"27.05.2018","7.638,1","7.330,8","7.691,2","7.048,6","148,70K","4,20%"
"20.05.2018","7.330,3","8.230,9","8.586,9","7.260,9","173,48K","-10,96%"
"13.05.2018","8.232,3","8.467,0","8.882,4","7.927,8","181,80K","-2,72%"
"06.05.2018","8.462,7","9.859,6","9.963,9","8.204,5","216,13K","-14,17%"
"29.04.2018","9.859,6","9.340,3","9.990,0","8.829,1","186,86K","5,50%"
"22.04.2018","9.345,3","8.917,6","9.761,5","8.656,0","307,97K","4,78%"
"15.04.2018","8.919,1","8.003,0","9.029,0","7.823,3","246,91K","11,45%"
"08.04.2018","8.002,9","6.892,6","8.230,0","6.611,0","341,99K","16,11%"
"01.04.2018","6.892,6","6.925,4","7.509,6","6.432,4","331,08K","-0,47%"
"25.03.2018","6.925,3","8.525,0","8.673,9","6.533,0","426,25K","-18,86%"
"18.03.2018","8.535,0","7.832,0","9.175,2","7.240,0","402,89K","8,71%"
"11.03.2018","7.851,0","8.764,4","9.894,7","7.666,3","466,31K","-10,40%"
"04.03.2018","8.762,0","11.454,0","11.696,0","8.351,0","393,58K","-23,41%"
"25.02.2018","11.440,0","9.666,3","11.526,0","9.284,3","253,45K","18,35%"
"18.02.2018","9.666,3","11.062,0","11.776,0","9.350,3","444,45K","-12,55%"
"11.02.2018","11.053,5","8.563,0","11.083,0","7.851,0","357,71K","29,08%"
"04.02.2018","8.563,1","9.225,1","9.403,3","6.000,0","713,97K","-7,12%"
"28.01.2018","9.219,4","11.455,1","12.181,0","7.972,2","413,82K","-19,56%"
"21.01.2018","11.461,0","12.732,0","12.732,0","9.901,1","353,23K","-9,95%"
"14.01.2018","12.728,0","14.190,0","14.391,0","9.231,1","513,24K","-10,31%"
"07.01.2018","14.191,0","17.163,0","17.176,0","12.639,0","334,69K","-17,31%"